id,title,author,school,summary,key_concepts,content_to_embed
1,The Myth of Sisyphus,Albert Camus,Absurdism,"Addresses the fundamental philosophical question of suicide and finding meaning in an indifferent, godless universe through defiance, rebellion, and personal freedom.","absurd, suicide, rebellion, scorn of the gods, defying fate, freedom","Title: The Myth of Sisyphus. Author: Albert Camus. School: Absurdism. Summary: Addresses the fundamental philosophical question of suicide and finding meaning in an indifferent, godless universe through defiance, rebellion, and personal freedom.. Key Concepts: absurd, suicide, rebellion, scorn of the gods, defying fate, freedom"
2,The Stranger,Albert Camus,Absurdism,"Follows Meursault, an emotionally detached man who refuses to conform to societal rituals and moral expectations, embracing emotional truth until his execution.","detachment, honesty, social conformity, absurdity, authentic life","Title: The Stranger. Author: Albert Camus. School: Absurdism. Summary: Follows Meursault, an emotionally detached man who refuses to conform to societal rituals and moral expectations, embracing emotional truth until his execution.. Key Concepts: detachment, honesty, social conformity, absurdity, authentic life"
3,Being and Nothingness,Jean-Paul Sartre,Existentialism,Argues that human existence precedes essence. Humans are condemned to radical freedom and must take complete responsibility for defining their own identity without divine guidance.,"bad faith, radical freedom, existence precedes essence, anguish, self-definition","Title: Being and Nothingness. Author: Jean-Paul Sartre. School: Existentialism. Summary: Argues that human existence precedes essence. Humans are condemned to radical freedom and must take complete responsibility for defining their own identity without divine guidance.. Key Concepts: bad faith, radical freedom, existence precedes essence, anguish, self-definition"
4,Nausea,Jean-Paul Sartre,Existentialism,A philosophical novel exploring an historian's visceral dread upon realizing that the external world and existence itself are entirely contingent and devoid of intrinsic meaning.,"existential dread, contingency, meaninglessness, alienation, physical revulsion","Title: Nausea. Author: Jean-Paul Sartre. School: Existentialism. Summary: A philosophical novel exploring an historian's visceral dread upon realizing that the external world and existence itself are entirely contingent and devoid of intrinsic meaning.. Key Concepts: existential dread, contingency, meaninglessness, alienation, physical revulsion"
5,Fear and Trembling,Søren Kierkegaard,Christian Existentialism,"Examines Abraham's sacrifice of Isaac, exploring the terrifying leap of faith, the suspension of the ethical, and the solitary individual confronting divine commands.","leap of faith, anxiety, teleological suspension of the ethical, knight of faith","Title: Fear and Trembling. Author: Søren Kierkegaard. School: Christian Existentialism. Summary: Examines Abraham's sacrifice of Isaac, exploring the terrifying leap of faith, the suspension of the ethical, and the solitary individual confronting divine commands.. Key Concepts: leap of faith, anxiety, teleological suspension of the ethical, knight of faith"
6,The Sickness Unto Death,Søren Kierkegaard,Christian Existentialism,Investigates human despair as a spiritual failure of the self to relate authentically to itself and to the transcendent power that created it.,"despair, selfhood, alienation, spiritual sickness, authentic self","Title: The Sickness Unto Death. Author: Søren Kierkegaard. School: Christian Existentialism. Summary: Investigates human despair as a spiritual failure of the self to relate authentically to itself and to the transcendent power that created it.. Key Concepts: despair, selfhood, alienation, spiritual sickness, authentic self"
7,The Ethics of Ambiguity,Simone de Beauvoir,Existentialism,"Develops a moral theory grounded in existentialist freedom, balancing personal autonomy with the ethical responsibility to liberate others from oppression.","freedom of others, ethics, ambiguity of existence, anti-oppression, moral action","Title: The Ethics of Ambiguity. Author: Simone de Beauvoir. School: Existentialism. Summary: Develops a moral theory grounded in existentialist freedom, balancing personal autonomy with the ethical responsibility to liberate others from oppression.. Key Concepts: freedom of others, ethics, ambiguity of existence, anti-oppression, moral action"
8,Thus Spoke Zarathustra,Friedrich Nietzsche,Nietzscheanism,"A prophetic narrative proclaiming the death of God, overcoming traditional morality, embracing eternal recurrence, and striving towards the self-transcending Übermensch.","death of god, ubermensch, eternal recurrence, defying gods, will to power, self-overcoming","Title: Thus Spoke Zarathustra. Author: Friedrich Nietzsche. School: Nietzscheanism. Summary: A prophetic narrative proclaiming the death of God, overcoming traditional morality, embracing eternal recurrence, and striving towards the self-transcending Übermensch.. Key Concepts: death of god, ubermensch, eternal recurrence, defying gods, will to power, self-overcoming"
9,Beyond Good and Evil,Friedrich Nietzsche,Nietzscheanism,"Deconstructs traditional moral philosophy, criticizing dogmatic truths and introducing the distinction between master and slave moralities.","master-slave morality, will to power, perspectivism, critique of dogma, autonomous values","Title: Beyond Good and Evil. Author: Friedrich Nietzsche. School: Nietzscheanism. Summary: Deconstructs traditional moral philosophy, criticizing dogmatic truths and introducing the distinction between master and slave moralities.. Key Concepts: master-slave morality, will to power, perspectivism, critique of dogma, autonomous values"
10,On the Genealogy of Morals,Friedrich Nietzsche,Nietzscheanism,"Traces the psychological origins of guilt, bad conscience, and ascetic ideals, exposing how religious resentment shaped modern moral systems.","ressentiment, bad conscience, guilt, ascetic ideals, critique of christianity","Title: On the Genealogy of Morals. Author: Friedrich Nietzsche. School: Nietzscheanism. Summary: Traces the psychological origins of guilt, bad conscience, and ascetic ideals, exposing how religious resentment shaped modern moral systems.. Key Concepts: ressentiment, bad conscience, guilt, ascetic ideals, critique of christianity"
